chip_id,fp16_dense_tflops,bf16_dense_tflops,fp8_dense_tflops,fp4_dense_tflops,int8_dense_tops,fp16_sparse_tflops,bf16_sparse_tflops,fp8_sparse_tflops,fp4_sparse_tflops,int8_sparse_tops
H100,989,989,1979,N/A,1979,1979,1979,3958,N/A,3958
H200,989,989,1979,N/A,1979,1979,1979,3958,N/A,3958
B100,1750,1750,3500,7000,3500,3500,3500,7000,14000,7000
B200,2250,2250,4500,9000,4500,4500,4500,9000,18000,9000
GB200,5000,5000,10000,20000,10000,10000,10000,20000,40000,20000
H20,74,74,148,N/A,296,148,148,296,N/A,592
MI300X,1307.4,1307.4,2614.9,N/A,2614.9,2614.9,2614.9,5229.8,N/A,5229.8
MI325X,1307.4,1307.4,2614.9,N/A,2614.9,2614.9,2614.9,5229.8,N/A,5229.8
MI350X,2386.9,2386.9,4613.8,9225,4613.8,4613.8,4613.8,9227.4,18450,9227.4
MI355X,2516.6,2516.6,5033.2,10050,5033.2,5033.2,5033.2,10066,20100,10066
G2,432,432,865,N/A,865,N/A,N/A,N/A,N/A,N/A
G3,459,1835,1835,N/A,1835,N/A,N/A,N/A,N/A,N/A
v5p,459,459,N/A,N/A,459,N/A,N/A,N/A,N/A,N/A
v6e,918,918,1836,N/A,1836,N/A,N/A,N/A,N/A,N/A
v7,2307,2307,4614,N/A,4614,N/A,N/A,N/A,N/A,N/A
inf2,190,190,190,N/A,380,N/A,N/A,N/A,N/A,N/A
trn2,667,667,1299,N/A,1299,1334,1334,2563,N/A,2563
trn3,671,671,2517,2517,2517,1342,1342,5034,5034,5034
maia100,300,300,N/A,N/A,600,N/A,N/A,N/A,N/A,N/A
maia200,1268,1268,5072,10145,5072,N/A,N/A,N/A,N/A,N/A
mtia1,51.2,51.2,N/A,N/A,102.4,N/A,N/A,N/A,N/A,N/A
mtia2,177,177,354,N/A,354,354,354,708,N/A,708
d1,362,362,362,N/A,362,N/A,N/A,N/A,N/A,N/A
ai5,1200,1200,2500,N/A,2500,N/A,N/A,N/A,N/A,N/A
lpu1,188,188,N/A,N/A,750,N/A,N/A,N/A,N/A,N/A
lpu2,376,376,N/A,N/A,1500,N/A,N/A,N/A,N/A,N/A
wse2,75000,75000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wse3,125000,125000,250000,N/A,250000,N/A,N/A,N/A,N/A,N/A
asc910b,320,320,N/A,N/A,640,N/A,N/A,N/A,N/A,N/A
asc910c,800,800,N/A,N/A,1600,N/A,N/A,N/A,N/A,N/A
mlu370,48,48,N/A,N/A,256,N/A,N/A,N/A,N/A,N/A
mlu590,160,160,N/A,N/A,512,N/A,N/A,N/A,N/A,N/A
br100,512,512,512,N/A,2048,1024,1024,1024,N/A,4096
br104,256,256,256,N/A,1024,512,512,512,N/A,2048
mxn100,80,80,N/A,N/A,160,N/A,N/A,N/A,N/A,N/A
mxc500,120,120,N/A,N/A,240,N/A,N/A,N/A,N/A,N/A
